"","id","URM","URM2","day0","day","homeavoid.x","curraffect","e.excited","e.enthus","e.nerv","e.fear","e.hostile","e.uncertain","e.calm","e.peace","e.indiff","e.homesick","e.guilty","e.happy","e.shame","e.slug","e.sleepy","e.proud","neg.m.x","pos.m.x","er.accept","er.distractbusy","er.rumin","er.prob","er.socsupp","er.benfind","er.conseq","er.selfblame","er.otherblame","er.posfocus","er.beh","er.savor","er.perspect","er.distractonline","er.suppress1","er.suppress2","er.avoid","iof.day","WUcon_hrs","WUcon_mode","WUcon_mode_txt","WUcon_mode_3","WUcon_mode_4","WUcon_mode_5","WUcon_mode_5_txt","famcon","fambff_modes_1","fambff_modes_2","fambff_modes_3","fambff_modes_4","fambff_modes_5","fambff_modes_5_txt","famcon_me","me_famcon","interact","express","suppress","avoid.home","avoid.h_acad","avoid.h_soc","avoid.h_money","avoid.college","avoid.c_acad","avoid.c_soc","avoid.c_money","firstgen","gender","iof.day.y","neg.m.y","pos.m.y","homeavoid.y","er.avoid.y","filter_$","min","missincases","completecases","complete","iof.x.pc","duration.exp","duration","StartDate","EndDate","Date_analysis"
"402",58,0,0,2,3,1,4,2,2,2,1,1,1,2,2,2,2,1,2,1,1,4,2,1.625,2,2,3,2,2,2,3,2,2,2,4,4,4,2,3,3,3,2,7,2,1,NA,1,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,5,5,1,1,1,1,1,1,1,1,0,1,7,1.75,2.66666666666667,2,2,0,1,0,1,0,0,1,330,"4/12/2017 17:03","4/12/2017 17:09","Wednesday, April 12th"
"403",58,0,0,3,4,1,5,4,2,2,2,1,3,2,2,1,2,1,3,1,4,4,2,2.125,2.5,2,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,1,NA,7,1,1,NA,1,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,5,5,1,1,1,1,1,1,NA,NA,0,1,7,1.75,2.66666666666667,2,2,0,1,0,1,0,0,1,131,"4/13/2017 17:03","4/13/2017 17:06","Thursday, April 13th"
"404",58,0,0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,7,1.75,2.66666666666667,2,2,0,1,1,0,0,NA,NA,NA,"","",""
"405",58,0,0,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,7,1.75,2.66666666666667,2,2,0,1,1,0,0,NA,NA,NA,"","",""
"406",58,0,0,6,7,1,3,3,2,2,1,2,1,2,2,2,2,1,2,1,4,4,2,2.125,2.16666666666667,2,2,2,2,2,3,2,1,1,2,2,2,2,1,2,1,2,7,5,1,NA,1,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,5,5,1,1,1,1,1,1,1,1,0,1,7,1.75,2.66666666666667,2,2,0,1,0,1,0,0,1,145,"4/16/2017 17:03","4/16/2017 17:06","Sunday, April 16th"
"407",59,0,0,0,1,1.5,7,3,3,3,3,3,3,2,2,2,3,2,4,1,4,4,2,2.875,2.66666666666667,3,3,4,3,5,4,4,2,2,4,4,4,4,4,2,4,3,5,5,1,NA,1,NA,NA,"",1,NA,NA,1,NA,NA,"",0,1,1,2,4,1,2,1,2,1,1,1,1,0,1,5,2.875,2.66666666666667,1.5,3,1,1,0,1,1,-0.857142857142857,1,367,"4/10/2017 17:02","4/10/2017 17:09","Monday, April 10th"
"408",59,0,0,1,2,1.75,7,4,3,4,2,2,2,4,4,2,2,1,5,1,3,4,4,2.375,4,3,4,3,4,3,4,4,1,2,4,4,4,5,5,2,4,1,6,2,1,NA,1,NA,NA,"",3,NA,NA,1,NA,NA,"",2,1,1,3,5,1,2,1,3,1,2,1,3,0,1,5,2.875,2.66666666666667,1.5,3,0,1,0,1,1,0.142857142857143,0,1118,"4/11/2017 17:23","4/11/2017 17:41","Tuesday, April 11th"
"409",59,0,0,2,3,1.75,5,3,3,4,4,2,2,2,2,3,3,1,3,1,2,2,4,2.375,2.83333333333333,3,4,4,4,4,4,3,2,1,5,4,4,5,4,3,4,4,6,5,1,NA,1,1,NA,"",2,NA,NA,1,1,NA,"",1,1,1,4,4,1,2,1,3,1,1,1,3,0,1,5,2.875,2.66666666666667,1.5,3,0,1,0,1,1,0.142857142857143,1,321,"4/12/2017 19:57","4/12/2017 20:02","Wednesday, April 12th"
"410",59,0,0,3,4,1.25,7,4,4,2,2,1,2,3,4,1,2,1,4,1,1,2,4,1.5,3.83333333333333,1,4,2,4,3,3,2,1,1,4,5,4,4,4,2,4,1,6,4,1,NA,1,NA,NA,"",1,NA,NA,1,NA,NA,"",0.5,0.5,1,2,2,1,1,1,2,1,1,1,2,0,1,5,2.875,2.66666666666667,1.5,3,0,1,0,1,1,0.142857142857143,0,172779,"4/13/2017 17:10","4/15/2017 17:09","Thursday, April 13th"
"411",59,0,0,4,5,1,3,1,1,4,3,3,3,2,1,3,4,3,2,3,2,2,1,3,1.33333333333333,2,3,5,4,4,3,4,4,3,4,4,1,4,3,3,2,4,6,4,1,NA,1,NA,NA,"",2,NA,NA,1,1,NA,"",1,1,1,4,3,1,1,1,1,1,1,1,1,0,1,5,2.875,2.66666666666667,1.5,3,0,1,0,1,1,0.142857142857143,1,574,"4/14/2017 17:10","4/14/2017 17:19","Friday, April 14th"
